004840,DRB동일,6790,저가,고가,13808,11748,8717,62,69,77,,,41.38,21.71,33.17,,0.73,1.9,1.64,-9.2,0.3,0.3,-1.3,-8.6,-20.5,-2.1,-27.2,-44.9,-8.5,,,0.66,2.54,1.83,5.36,12.55,,0.82,1.84,1.63,2.78,7.3,,,4966,5470,5454,5439,5513,,,23,89,62,394,8.4,15.4,14.3,4.6,5.3,5.9,403,-211,-32,346,387,381,-58,598,412,520,418,300,-683,-411,-447,374,45,170,1199,1002,947,198,55,25,34296.76666666667,2.11,2.41,0.44,-3.0,-5723,-19970,-34267,-29921,-23,31,6702,10272,5708,16681,23707,16159,1.86,0.06,0.12,0.08,코스피 금융업,FICS  자동차부품,매출 감소로 수익 부진,"동사는 1945년 '동일화학공업소'로 창업하여 2013년 상호변경하였으며, 1976년 유가증권시장에 상장함. 고무제품 종합메이커로서 종합 고무부품사업을 영위하고 있으며, 자동차부품, 토건자재, 면진제진 사업 등을 영위하고 있음. 축적된고무응용 기술을 통해 더 많은 사람들이 안전하고 쾌적한 삶을 영위할 수 있도록 토목건축관련 제품의 개발에서부터 시공, 사후 관리까지 전 과정을 책임짐.","2020년 9월 전년동기 대비 연결기준 매출액은 9.8% 감소, 영업이익은 35% 감소, 당기순이익은 54.6% 감소. 선진시장 및 국내 자동차산업의 정체에 반해, 해외 신흥국의 자동차산업이 성장함에 따라 신규시장 선점을 통해 성장을 꾀하고 있음. 전년동기 대비 매출액은 감소하였으나, 인건비 및 복리후생비는 증가하며 영업이익은 큰폭으로 감소하였음. 영업외비용을 절감하고자 노력했지만 순이익 감소로 이어짐."
155660,DSR,5930,저가,고가,9321,8857,8073,2531,2847,3164,,,8.96,9.15,10.12,,0.8,1.09,1.25,-2.3,0.1,4.3,12.6,-6.4,13.3,7.6,-28.7,4.0,4.8,,,5.67,5.83,5.54,8.15,8.5,,3.64,3.77,3.54,5.2,5.76,,,2310,2363,2360,2264,2011,,,89,87,79,107,21.5,25.7,24.1,12.9,7.9,6.7,89,39,-76,177,157,151,88,117,227,174,138,46,-167,-113,-30,-5,49,-36,92,93,20,-1,73,-21,99306.13333333333,-0.84,-1.82,4.4,9.41,-18641,-86692,-156866,-186340,174,31042,37619,39377,18267,55350,123703,148028,1.57,0.18,0.86,0.96,코스피 철강및금속,FICS  금속 및 광물,원재료 가격 하락으로 영업이익 증가,"동사는 1965년에 설립되어 2000년 대성제강공업에서 DSR로 상호를 변경하였고, 2013년 유가증권시장에 상장함. 동사는 합성섬유로프, 스테인리스 와이어 등의 제조 및 판매를 주요사업으로 영위하고 있음. 수요가 급증하고 있는 중국내 시장 공략을 위하여 청도 DSR제강유한공사에 판매조직을 신설하였으며, 해외지역 대형 중공업 및 선사의 직접납품을 위하여 역량을 집중하고 있음.","2020년 9월 전년동기 대비 연결기준 매출액은 3.2% 감소, 영업이익은 18.4% 증가, 당기순이익은 0.2% 증가. 매출액이 소폭 감소했으나 원재료 가격감소로 영업이익은 증가함. 차입금 증가로 순이익 증가폭은 크지 않음. 동사의 제품들이 대부분의 산업 분야에서 산업용 원부자재로 사용되고 있으므로 아프리카, 중남미, 서남아시아, 중국 내륙지방 등의 잠재 수요국가들과 이미 수요가 있는 브릭스 지역에 대한 적극적 선점 추진 계획."
001250,GS글로벌,2615,,,,,,,,,,,,,10.04,,,,1.01,-27.6,-4.2,19.8,32.6,12.9,-44.6,3.8,16.9,31.9,26.0,,,-24.91,-4.61,5.48,6.22,6.07,,-7.6,-1.31,1.54,1.65,1.51,,,28150,38894,40585,33874,25538,,,-804,-171,205,156,110.8,112.8,109.8,2.1,3.1,2.8,1714,2371,1302,643,1880,605,-1071,-491,-697,1202,332,-103,-65,-79,841,-978,-163,-890,925,826,680,99,146,-105,782488.7666666667,-2.06,1.95,4.6,14.95,-17816,-267501,-512223,-1152834,346,12997,-97147,-48265,15886,234557,586598,1258973,3.47,0.25,0.96,1.53,코스피 유통업,FICS  무역,국제 물동량 감소로 물류부문 실적악화,"1954년 국제무역을 전문으로 하는 금성산업라는 이름으로 설립됨. 1975년에 쌍용으로 상호가 변경되었고, 2009년 7월에 GS로 대주주가 변경되며 현재의 상호를 사용함. 무역/유통, 물류, 제조, 개발및기타 등 총 4개의 사업부문으로 구성됨. 트레이딩 사업은 소비재 보다는 철강, 석유화학 등 산업재 비중이 높으며, 중국, 미국, 유럽 등 주요 수출국의 경기변동 및 원자재 시황, 환율변동 등 거시 경제 변수에 민감한 영향 받음.","제조부문의 매출이 늘었으나, 코로나19로 인한 국제 물동량 감소로 주력인 무역/유통부문의 매출이 큰 폭으로 줄어들어 2020년 3분기 누적 매출액은 전년동기 대비 29.2% 감소함. 개발사업의 적자 규모는 감소하였으나, 외형축소에 따른 고정비용 부담으로 영업이익은 전년동기 대비 10.5% 감소한 412.4억원을 기록함. 영업외에서 이자비용과 매출채권처분손실 등 금융원가가 줄어들면서 당기순이익은 전년동기 대비 소폭 증가함."
294870,HDC현대산업개발,28500,저가,저가,40440,39700,38394,30762,34607,38452,36964,,17.96,5.31,9.56,,2.3,1.84,0.98,-13.0,51.0,,,,6.2,73.5,,,,12.28,7.181917608457892,8.85,20.3,,,,5.81,4.18,8.92,,,,34995,34772,36702,42165,27927,,,3529,1970,2202,4137,2299,,,,,17.1,32.1,23.6,-1724,-3935,-6557,4075,4341,2336,5799,8276,8893,-2589,-1200,4546,-10128,-2378,-2489,14423,-1759,283,5266,3611,8948,1656,-5337,2341,625113.8666666667,1.97,-3.06,-2.9,7.95,-52014,359723,683538,-227216,13771,-295542,-340411,384375,36352,-49104,-332647,-161479,10.37,-0.44,-0.37,-0.22,코스피 건설업,FICS  건설,개발형 건설사업에 주력한 종합건설회사,"동사는 2018년 5월 현대산업개발에서 HDC와 HDC현대산업개발로 분할되었으며 건설사업부문, PC사업부문, 호텔 및 콘도 사업부문을 분할하여 설립함. 동사는 도급방식의 건설공사를 수행하고 있을 뿐만 아니라 수익성을 제고시킬 수 있는 개발형 건설 사업에 주력해 온 종합건설회사임. 동사는 독점규제 및 공정거래에 관한 법률상 에이치디씨그룹에 속한 계열회사이고, 에이치디씨그룹은 2020년 9월말 현재 27개의 국내 계열회사가 있음.","2020년 9월 전년동기 대비 연결기준 매출액은 13.3% 감소, 영업이익은 6.7% 증가, 당기순이익은 58% 감소. 시장 경쟁력인 높은 기술력, 양호한 재무구조 및 최고의 브랜드 파워를 바탕으로 일반건축부문에서 경쟁력을 제고하고 있음. 토목부문은 국내 초기 민자 SOC 시장을 이끌었던 사업기획, 개발 및 추진능력 등을 보유하고 있어대규모 개발형 토목공사의 수주에 강점을 가지고 있음."
004840,DRB동일,6790,저가,고가,13808,11748,8717,62,69,77,,,41.38,21.71,33.17,,0.73,1.9,1.64,-9.2,0.3,0.3,-1.3,-8.6,-20.5,-2.1,-27.2,-44.9,-8.5,,,0.66,2.54,1.83,5.36,12.55,,0.82,1.84,1.63,2.78,7.3,,,4966,5470,5454,5439,5513,,,23,89,62,394,8.4,15.4,14.3,4.6,5.3,5.9,403,-211,-32,346,387,381,-58,598,412,520,418,300,-683,-411,-447,374,45,170,1199,1002,947,198,55,25,34296.76666666667,2.11,2.41,0.44,-3.0,-5723,-19970,-34267,-29921,-23,31,6702,10272,5708,16681,23707,16159,1.86,0.06,0.12,0.08,코스피 금융업,FICS  자동차부품,매출 감소로 수익 부진,"동사는 1945년 '동일화학공업소'로 창업하여 2013년 상호변경하였으며, 1976년 유가증권시장에 상장함. 고무제품 종합메이커로서 종합 고무부품사업을 영위하고 있으며, 자동차부품, 토건자재, 면진제진 사업 등을 영위하고 있음. 축적된고무응용 기술을 통해 더 많은 사람들이 안전하고 쾌적한 삶을 영위할 수 있도록 토목건축관련 제품의 개발에서부터 시공, 사후 관리까지 전 과정을 책임짐.","2020년 9월 전년동기 대비 연결기준 매출액은 9.8% 감소, 영업이익은 35% 감소, 당기순이익은 54.6% 감소. 선진시장 및 국내 자동차산업의 정체에 반해, 해외 신흥국의 자동차산업이 성장함에 따라 신규시장 선점을 통해 성장을 꾀하고 있음. 전년동기 대비 매출액은 감소하였으나, 인건비 및 복리후생비는 증가하며 영업이익은 큰폭으로 감소하였음. 영업외비용을 절감하고자 노력했지만 순이익 감소로 이어짐."
092220,KEC,2410,,,,,,,,,,,,,,,,,,-0.3,-7.2,-3.9,-0.6,8.9,,,-49.2,64.0,-17.4,,,-24.43,-8.99,0.67,0.45,0.17,,-12.77,-5.76,0.49,0.37,0.02,,,2010,2017,2174,2263,2277,,,-453,-192,15,3,11.8,14.8,17.7,,,1.2,95,847,250,50,23,150,-45,-824,-101,142,176,280,-463,-181,-97,356,-11,-96,189,156,172,34,-17,87,2893157.3,-1.43,3.88,3.66,-1.23,194297,416850,637810,-37019,246,-48769,-49404,11721,-192846,-346907,-541688,-3120,3.44,-0.01,-0.17,0.03,"코스피 전기,전자",FICS  반도체 및 관련장비,전방 사업 부진에 따른 수익성 감소,"동사는 반도체 제품 및 부품 제조업을 영위할 목적으로 기존 법인인 주식회사 케이이씨로부터 제조 사업 부분을 2006년 9월 인적 분할하여 설립됨. 초소형 Package 개발, 모바일화 및 디지털화 요구에 부응한 저 소비전력 제품 개발과 미국 및 유럽 시장 등 시장 개척에 총력을 기울임. 매출은 TR이 51.16%, IC가 29.31%, 기타(제품)가 19.47%의 비중을 차지하고 있음.","2020년 9월 전년동기 대비 연결기준 매출액은 7.5% 감소, 영업이익 적자전환, 당기순이익 적자전환. 동사의 단기차입금은 374억으로 증가되었으며 반도체 전방 산업 부진에 따른 외형 성장 감소와 영업레버리지 효과에 따른 수익성 악화됨. 향후 전기차 및 수소차 자동차 확대에 따라 저전력 부품의 수요 확대에 따른 수요가 증가하여 매출이  확대될 것으로 기대됨."
016380,KG동부제철,14900,고가,고가,9444,9271,8965,3837,4317,4796,,,14.98,,,,0.86,,,-3.5,-4.6,-2.0,11.5,0.3,219.8,,,,82.8,,,7.18,-7.44,-278.18,-323.35,-115.43,,2.9,-1.38,-2.61,-9.95,-2.55,,,23424,24283,25451,25962,23280,,,668,-333,-656,-727,90.3,110.0,25268.9,2.7,0.3,,1987,-2161,-30,1680,951,371,-307,3112,401,1300,-1698,-82,284,-228,-327,-2014,1652,-108,202,634,910,-431,-276,-491,850249.9,-2.3,-5.7,-2.61,21.14,43000,286558,625849,1276929,-58137,-258474,-357001,-1358332,36121,-22562,-276337,-18616,0.16,-0.01,-0.09,-0.0,코스피 철강및금속,FICS  금속 및 광물,비용관리 통한 수익성 개선,"동사와 연결대상 종속회사는 냉연강판과 석도강판, 칼라강판 등 각종 표면처리강판을 주요 제품으로 생산하여 국내외에 판매하는 글로벌 철강 전문회사임. 철강재는 자동차, 조선, 전자, 기계, 건설 등 대부분의 2차 산업에서 기초소재로 쓰이기 때문에 소재산업의 특성상 전후방 산업과의 연관효과가 매우 크고, 그 시장규모가 타 제조업종에 비해 상당히 큰 편임. 2019년 9월부로 채권단 공동관리체제에서 벗어나 KG그룹 가족사로 편입됨.","2020년 9월 전년동기 대비 연결기준 매출액은 7.4% 감소, 영업이익은 244.9% 증가, 당기순이익 흑자전환. 매출액은 감소했으나 매출원가와 판관비 관리에 성공하면서 영업이익 905억원을 기록, 큰 폭의 수익성 개선을 이루어냄. 원재료 가격이 차지하는 비중이 높은 만큼 원재료의 수급을 원활히 하여 제품원가를 낮추기 위한 방법을 모색하고 있으며 해외 광산 직접개발 및 현지 직접 생산시설을 갖추는 투자 검토 중임."
001390,KG케미칼,27850,저가,저가,31309,33959,39259,31703,35666,39629,,,11.99,4.66,127.92,,1.68,2.92,2.01,78.2,61.2,16.7,36.0,-20.3,105.9,62.8,-5.0,4.9,60.2,,,11.94,32.69,1.37,1.88,6.32,,3.65,7.75,1.86,0.74,2.36,,,36864,20684,12828,10995,8085,,,432,961,34,128,95.6,104.5,36.0,4.0,2.9,7.7,1210,-16970,305,3065,1763,793,1855,18733,487,3103,1467,585,-1829,2465,-452,-2172,-2440,-16,2371,3273,1807,-902,1465,116,161818.4,-0.54,0.54,3.15,5.29,21140,46691,55596,51675,-20969,-33641,-32814,-5735,-482,-14838,-25922,-37999,3.28,0.01,-0.18,-0.27,코스피 화학,FICS  IT 서비스,전자결제 부문의 성장 기대,"동사는 1954년에 설립됨. 1989년에 유가증권시장에 상장되어 매매가 개시되었음. 건설소재와 비료의 제조 및 판매를 주 사업으로 영위 중임. 감수제, 유지제, 혼화제 등 건설관련 화학소재사업과 친환경 유기질비료, 천연성분 작물보호제, 미생물 제재, 친환경 농자재 등의 생명농업사업을 전개 중임. 연결기업은 사업의 성격에 따라 7개 부문(화학, 에너지, 전자결제, 미디어 및 금융, 교육사업, 요식업, 기타)으로 분류됨.","2020년 9월 전년동기 대비 연결기준 매출액은 130.7% 증가, 영업이익은 112.6% 증가, 당기순이익은 74.5% 감소. 화학부문의 부진에도 불구하고, 철강 및 항만 매출과 전자결제부문의 꾸준한 성장으로 매출액 및 수익성 향상된 모습을 나타냄. 매출에서 큰 부분을 차지하고 있는 전자결제 부문에서의 신규 사업 진행과 제휴 활동의 성공여부가 향후 추가적인 실적 개선의 포인트로 판단됨."
058860,KTis,3095,저가,고가,4259,3937,3411,746,840,933,,,35.91,33.08,34.25,,3.11,3.91,3.27,0.6,0.0,2.9,0.3,-5.3,-34.6,52.9,-18.8,-16.0,111.1,,,4.4,5.6,4.92,5.23,6.38,,2.44,3.4,3.49,3.75,4.62,,,4536,4510,4508,4381,4367,,,74,92,79,100,,6.6,,5.1,4.7,40158.3,309,-613,199,266,308,107,-43,922,-92,224,366,53,44,-210,-93,-237,-217,-27,318,287,348,31,-61,-67,541777.8333333334,1.81,4.38,2.65,11.33,-125631,-263704,-247024,-719074,2052,1862,-6280,198522,126790,267452,329467,660403,6.54,0.65,0.84,1.9,코스피 서비스업,FICS  상업서비스,판관비의 개선,"동사는 2001년 6월 27일에 ㈜케이티의 114번호안내서비스 사업이 분사하여 설립되었으며, 2010년 12월 17일 한국거래소에 상장됨. 동사는 KT 고객센터, 114전화번호안내사업, 지역광고사업(우선번호안내서비스) 및 컨택센터사업, 유통사업 등을 주요사업으로 영위하고 있음.  GiGA인터넷, IPTV, 인공지능 TV 기가지니, SMB 상품 등 다양한 서비스로 영업활동을 하고 있음.","2020년 9월 전년동기 대비 별도기준 매출액은 2% 감소, 영업이익은 26.5% 증가, 당기순이익은 8.1% 증가. 동사의 매출액은 감소하였으나 판관비의 개선으로 전년 동기 대비 영업이익 상승폭을 개선함. 고정자산에 대한 투자를 기피하는 외국계 기업을 중심으로 컨택센터 ASP 수요가 증가하며, 효율적 운영관리를 위한 별도 솔루션의 신규 시장도 확대가 기대됨."
011070,LG이노텍,217500,고가,저가,123589,139127,171702,256226,288255,320283,265333,,7.02,6.94,4.35,,0.38,0.21,0.35,19.6,-0.1,4.5,32.8,-6.3,43.0,80.8,-11.1,182.8,-53.1,20.39,13.761996951847427,10.19,4.73,8.02,9.37,0.28,8.6,4.0,1.77,2.8,3.43,0.12,110928,103859,95418,79754,79821,76414,57546,5508,3341,2361,1023,1631,50,42.9,51.2,71.1,13.7,7.5,4.9,7482,4806,-2058,11775,8881,7516,4292,4075,9574,9503,7690,10623,-8262,-3543,-14145,-1672,-2389,6036,6946,7996,6212,-1050,1783,2517,198925.43333333332,2.35,1.87,5.84,3.08,-84471,-35513,-8192,326881,30268,-10362,-22397,-244213,54187,45117,23437,-107693,30.31,0.25,0.26,-0.27,"코스피 전기,전자",FICS  전자 장비 및 기기,매출 증가와 원가율 개선,"전기전자부품 제조 및 판매를 주요사업으로 영위하고 있는 종합 전자부품업체로, 광학솔루션, 기판소재, 전장부품 사업부문의 총 3개 사업부 체제로 운영되고 있음. 매출은 광학솔루션 64.4%, 기판소재 15.7%, 전장부품 14.6% 등으로 구성됨. 카메라모듈산업은 기술 집약적 산업이며 전후방 산업과 연관 효과가 매우 큰 고부가가치 산업임. 2020년 3분기 기준 동사 시장 점유율은 13.0%로 추산됨.","2020년 9월 전년동기 대비 연결기준 매출액은 8.3% 증가, 영업이익은 39.4% 증가, 당기순이익은 32.5% 증가. 코로나19 여파에도 북미 주요 거래사 중저가 신제품 출하량이 기대를 웃돌며 호실적을 기록함. 주요 원재료인 이미지 센서, IC의 단가 하락에 따라 원가율이 개선되었음.  UHD TV의 본격화에 따른 Tape Substrate 수요 증가와, OLED 적용 확대로 인한 Photomask 매출 증가가 예상됨."
