004840,DRB동일,8000,저가,고가,13738,11649,8588,62,69,77,-0.56,,,41.38,21.71,33.17,,0.73,1.9,1.64,-4.3,-9.2,0.3,0.3,-1.3,-64.3,-20.5,-2.1,-27.2,-44.9,,,0.66,2.54,1.83,5.36,12.55,,0.82,1.84,1.63,2.78,7.3,,,4966,5470,5454,5439,5513,,,23,89,62,180,394,12.4,8.4,15.4,1.9,4.6,5.3,-228,403,-211,76,346,387,304,-58,598,-143,520,418,70,-683,-411,52,374,45,1180,1199,1002,-19,198,55,124565.46666666666,-2.91,-0.25,1.52,13.48,-36266,-101738,-101551,-156355,-39,3989,16779,33151,36940,101004,85521,124351,2.37,0.1,0.48,0.63,코스피 화학,FICS  자동차부품,영업이익 큰 폭 감소,"동사는 1945년 '동일화학공업소'로 창업하여 2013년 상호변경하였으며, 1976년 유가증권시장에 상장함. 고무제품 종합메이커로서 종합 고무부품사업을 영위하고 있으며, 자동차부품, 토건자재, 면진제진 사업 등을 영위하고 있음. 축적된고무응용 기술을 통해 더 많은 사람들이 안전하고 쾌적한 삶을 영위할 수 있도록 토목건축관련 제품의 개발에서부터 시공, 사후 관리까지 전 과정을 책임짐.","2020년 12월 전년동기 대비 연결기준 매출액은 9.2% 감소, 영업이익은 20.5% 감소, 당기순이익은 73.8% 감소. 선진시장 및 국내 자동차산업의 정체에 반해, 해외 신흥국의 자동차산업이 성장함에 따라 신규시장 선점을 통해 성장을 꾀하고 있음. 전년동기 대비 매출액의 감소로 영업이익은 큰 폭으로 감소하였음. 영업외비용을 절감하고자 노력했지만 순이익 감소로 이어짐."
155660,DSR,7290,저가,고가,9272,8782,7955,2531,2847,3164,0.06,,,8.96,9.15,10.12,,0.8,1.09,1.25,3.8,-2.3,0.1,4.3,12.6,31.9,13.3,7.6,-28.7,4.0,,,5.67,5.83,5.54,8.15,8.5,7.75,3.64,3.77,3.54,5.2,5.76,2888,,2310,2363,2360,2264,2011,,,89,87,79,111,107,19.1,21.5,25.7,,12.9,7.9,-18,89,39,33,177,157,52,88,117,44,174,138,-33,-167,-113,-3,-5,49,102,92,93,10,-1,73,310989.63333333336,0.14,4.59,4.89,6.73,45336,18027,52607,290422,-39066,-37024,-70811,-102081,-6236,18841,29545,-190730,1.89,0.19,0.25,-1.19,코스피 철강및금속,FICS  금속 및 광물,수익성 개성으로 영업익 증가,"동사는 1965년에 설립되어 2000년 대성제강공업에서 DSR로 상호를 변경하였고, 2013년 유가증권시장에 상장함. 동사는 합성섬유로프, 스테인리스 와이어 등의 제조 및 판매를 주요사업으로 영위하고 있음. 수요가 급증하고 있는 중국내 시장 공략을 위하여 청도 DSR제강유한공사에 판매조직을 신설하였으며, 해외지역 대형 중공업 및 선사의 직접납품을 위하여 역량을 집중하고 있음.","2020년 12월 전년동기 대비 연결기준 매출액은 2.3% 감소, 영업이익은 13.3% 증가, 당기순이익은 2.2% 증가. 매출은 전년대비 소폭 감소하였으나, 매출 구성에 있어 특수제품의 비중을 확대할 수 있었고, 영업방식에 있어서도 제품중심에서 솔루션제공 중심으로 변모시켜 나감으로써 영업이익은 소폭 향상됨.  비대면 고객접촉을 확대하였고 이를 바탕으로 솔루션 제공의 차별화와 특수제품의 점유율 확대를 위한 활동을 강화함."
004840,DRB동일,8000,저가,고가,13738,11649,8588,62,69,77,-0.56,,,41.38,21.71,33.17,,0.73,1.9,1.64,-4.3,-9.2,0.3,0.3,-1.3,-64.3,-20.5,-2.1,-27.2,-44.9,,,0.66,2.54,1.83,5.36,12.55,,0.82,1.84,1.63,2.78,7.3,,,4966,5470,5454,5439,5513,,,23,89,62,180,394,12.4,8.4,15.4,1.9,4.6,5.3,-228,403,-211,76,346,387,304,-58,598,-143,520,418,70,-683,-411,52,374,45,1180,1199,1002,-19,198,55,124565.46666666666,-2.91,-0.25,1.52,13.48,-36266,-101738,-101551,-156355,-39,3989,16779,33151,36940,101004,85521,124351,2.37,0.1,0.48,0.63,코스피 화학,FICS  자동차부품,영업이익 큰 폭 감소,"동사는 1945년 '동일화학공업소'로 창업하여 2013년 상호변경하였으며, 1976년 유가증권시장에 상장함. 고무제품 종합메이커로서 종합 고무부품사업을 영위하고 있으며, 자동차부품, 토건자재, 면진제진 사업 등을 영위하고 있음. 축적된고무응용 기술을 통해 더 많은 사람들이 안전하고 쾌적한 삶을 영위할 수 있도록 토목건축관련 제품의 개발에서부터 시공, 사후 관리까지 전 과정을 책임짐.","2020년 12월 전년동기 대비 연결기준 매출액은 9.2% 감소, 영업이익은 20.5% 감소, 당기순이익은 73.8% 감소. 선진시장 및 국내 자동차산업의 정체에 반해, 해외 신흥국의 자동차산업이 성장함에 따라 신규시장 선점을 통해 성장을 꾀하고 있음. 전년동기 대비 매출액의 감소로 영업이익은 큰 폭으로 감소하였음. 영업외비용을 절감하고자 노력했지만 순이익 감소로 이어짐."
001250,GS글로벌,3110,,,,,,,,,,,,,,10.04,,,,1.01,-21.7,-27.6,-4.2,19.8,32.6,-58.7,-44.6,3.8,16.9,31.9,,,-24.91,-4.61,5.48,6.22,6.07,,-7.6,-1.31,1.54,1.65,1.51,,,28150,38894,40585,33874,25538,,,-804,-171,205,212,156,118.4,110.8,112.8,2.5,2.1,3.1,-42,1714,2371,90,643,1880,132,-1071,-491,-140,1202,332,3,-65,-79,357,-978,-163,1152,925,826,227,99,146,1926587.6,-0.64,-2.66,7.61,12.89,-114214,-65655,-873028,-1038885,-190,11696,29822,196783,118382,43650,797100,789282,4.33,0.18,-0.27,0.96,코스피 유통업,FICS  무역,코로나19로 인한 수요감소와 가격하락,"1954년 국제무역을 전문으로 하는 금성산업라는 이름으로 설립됨. 1975년에 쌍용으로 상호가 변경되었고, 2009년 7월에 GS로 대주주가 변경되며 현재의 상호를 사용함. 글로벌네트워크를 바탕으로  트레이딩 사업 외에도 수입차 PDI서비스, 하역ㆍ운송, 항만운영 등의 물류 사업과  화공장치 및 복합화력 장치 제조사업, 자원개발 등 신규사업 투자를 추진함. 트레이딩 사업은 소비재 보다는 철강, 석유화학 등 산업재 비중이 높음.","물류부문의 매출이 늘었으나, 코로나19로 인한 국제 물동량 감소로 주력인 무역/유통부문의 매출이 큰 폭으로 줄어들어 2020년 연결기준 매출액은 전년 대비 27.6% 감소함. 개발사업의 적자 규모는 감소하였으나, 외형축소에 따른 고정비용 부담으로 영업이익은 전년동기 대비 44.6% 감소한 323억원을 기록함.  자회사 GS엔텍의 영업권 손상 및 자원개발 자산(Nemaha유전)의 자산손상으로 당기순이익은 적자가 크게 확대됨."
294870,HDC현대산업개발,29300,저가,저가,39958,38924,37118,31440,35370,39300,,37625,,17.96,5.31,9.56,,2.3,1.84,0.98,-31.0,-13.0,51.0,,,-13.8,6.2,73.5,,,12.79,6.999103139013453,8.85,20.3,,,,5.92,4.18,8.92,,,,34098,32340,36702,42165,27927,,,3700,1951,2202,4137,2299,,,,,,13.9,17.1,32.1,2663,-1724,-3935,900,4075,4341,-1763,5799,8276,3162,-2589,-1200,-1959,-10128,-2378,549,14423,-1759,6987,5266,3611,1721,1656,-5337,859234.8666666667,0.0,-8.29,-0.85,5.21,263189,1190674,86216,-763598,-166903,-400622,-22107,661623,-88932,-779482,-67406,121712,10.6,-0.95,-0.16,0.39,코스피 건설업,FICS  건설,개발형 건설사업에 주력한 종합건설회사,"동사는 2018년 5월 현대산업개발에서 HDC와 HDC현대산업개발로 분할되었으며 건설사업부문, PC사업부문, 호텔 및 콘도 사업부문을 분할하여 설립함. 동사는 도급방식의 건설공사를 수행하고 있을 뿐만 아니라 수익성을 제고시킬 수 있는 개발형 건설 사업에 주력해 온 종합건설회사임. 동사는 독점규제 및 공정거래에 관한 법률상 에이치디씨그룹에 속한 계열회사이고, 에이치디씨그룹은 2020년 말 현재 27개의 국내 계열회사가 있음.","2020년 12월 전년동기 대비 연결기준 매출액은 13% 감소, 영업이익은 6.2% 증가, 당기순이익은 46.8% 감소. 시장 경쟁력인 높은 기술력, 양호한 재무구조 및 최고의 브랜드 파워를 바탕으로 일반건축부문에서 경쟁력을 제고하고 있음. 토목부문은 국내 초기 민자 SOC 시장을 이끌었던 사업기획, 개발 및 추진능력 등을 보유하고 있어 대규모 개발형 토목공사의 수주에 강점을 가지고 있음."
092220,KEC,2585,,,,,,,,,,,,,,,,,,,31.5,-0.3,-7.2,-3.9,-0.6,1166755.2,,,-49.2,64.0,,,-24.43,-8.99,0.67,0.45,0.17,,-12.77,-5.76,0.49,0.37,0.02,,,2010,2017,2174,2263,2277,,,-453,-192,15,9,3,12.3,11.8,14.8,4.3,,,-37,95,847,46,50,23,83,-45,-824,9,142,176,-31,-463,-181,27,356,-11,194,189,156,5,34,-17,2153523.566666667,0.58,1.97,10.94,18.58,-91508,616736,-133095,-718645,122,22255,105658,108939,96691,-615775,54016,637311,3.98,-0.44,0.35,0.6,"코스피 전기,전자",FICS  반도체 및 관련장비,전방 사업 부진에 따른 수익성 감소,"동사는 반도체 제품 및 부품 제조업을 영위할 목적으로 기존 법인인 주식회사 케이이씨로부터 제조 사업 부분을 2006년 9월 인적 분할하여 설립됨. 초소형 Package 개발, 모바일화 및 디지털화 요구에 부응한 저 소비전력 제품 개발과 미국 및 유럽 시장 등 시장 개척에 총력을 기울임. 매출은 TR이 51.16%, IC가 29.31%, 기타(제품)가 19.47%의 비중을 차지하고 있음.","2020년 12월 전년동기 대비 연결기준 매출액은 0.3% 감소, 영업손실은 66.4% 감소, 당기순손실은 135.7% 증가. 투자재원 확보 목적으로 발행한 전환사채의 평가, 재고자산 평가정책 등이 한국채택국제회계기준에 따라 재평가되면서 당사의 실질적인 영업활동의 실적과는 무관하게 손익에 마이너스 요인으로 적용됨. 지배기업의 주요 원재료 중 일부 항목들의 가격 상승으로 인하여 전년대비 영업이익이 감소함."
016380,KG동부제철,19550,고가,고가,9395,9191,8834,3837,4317,4796,-7.57,,,14.98,,,,0.86,,,8.7,-3.5,-4.6,-2.0,11.5,69.0,219.8,,,,,,7.18,-7.44,-278.18,-323.35,-115.43,,2.9,-1.38,-2.61,-9.95,-2.55,,,23424,24283,25451,25962,23280,,,668,-333,-656,-2676,-727,88.1,90.3,110.0,5.4,2.7,0.3,372,1987,-2161,399,1680,951,27,-307,3112,489,1300,-1698,-278,284,-228,157,-2014,1652,573,202,634,370,-431,-276,833803.0333333333,-2.74,3.44,-2.74,3.17,63184,-212553,-212202,114701,-34565,218910,284871,-10145,-29331,-11080,-46014,-116393,0.39,0.01,0.0,0.05,코스피 철강및금속,FICS  금속 및 광물,비용관리 통한 수익성 개선,"동사와 연결대상 종속회사는 냉연강판과 석도강판, 칼라강판 등 각종 표면처리강판을 주요 제품으로 생산하여 국내외에 판매하는 글로벌 철강 전문회사임. 철강재는 자동차, 조선, 전자, 기계, 건설 등 대부분의 2차 산업에서 기초소재로 쓰이기 때문에 소재산업의 특성상 전후방 산업과의 연관효과가 매우 크고, 그 시장규모가 타 제조업종에 비해 상당히 큰 편임. 2019년 9월부로 채권단 공동관리체제에서 벗어나 KG그룹 가족사로 편입됨.","2020년 12월 전년동기 대비 연결기준 매출액은 3.5% 감소, 영업이익은 219.8% 증가, 당기순이익 흑자전환. 매출액은 감소했으나 매출원가와 판관비 관리에 성공하면서 영업이익이 전년대비 증가. 큰 폭의 수익성 개선을 이루어냄. 원재료 가격이 차지하는 비중이 높은 만큼 원재료의 수급을 원활히 하여 제품원가를 낮추기 위한 방법을 모색하고 있으며 해외 광산 직접개발 및 현지 직접 생산시설을 갖추는 투자 검토 중임."
001390,KG케미칼,32000,적정저가,적정저가,31142,33662,38683,31703,35666,39629,121.07,,,11.99,4.66,127.92,,1.68,2.92,2.01,10.7,78.2,61.2,16.7,36.0,53.6,105.9,62.8,-5.0,4.9,,,11.94,32.69,1.37,1.88,6.32,,3.65,7.75,1.86,0.74,2.36,,,36864,20684,12828,10995,8085,,,432,961,34,42,128,88.6,95.6,104.5,6.1,4.0,2.9,898,1210,-16970,687,3065,1763,-211,1855,18733,924,3103,1467,-391,-1829,2465,-3,-2172,-2440,2903,2371,3273,532,-902,1465,210330.63333333333,7.93,6.84,5.09,13.68,-270962,-279467,-286768,-308069,22640,25790,43062,57336,234909,239127,235519,220000,5.38,1.75,1.79,1.58,코스피 화학,FICS  금속 및 광물,전자결제 부문의 성장 기대,"동사는 1954년에 설립됨. 1989년에 유가증권시장에 상장되어 매매가 개시되었음. 건설소재와 비료의 제조 및 판매를 주 사업으로 영위 중임. 감수제, 유지제, 혼화제 등 건설관련 화학소재사업과 친환경 유기질비료, 천연성분 작물보호제, 미생물 제재, 친환경 농자재 등의 생명농업사업을 전개 중임. 연결기업은 사업의 성격에 따라 7개 부문(화학, 에너지, 전자결제, 미디어 및 금융, 교육사업, 요식업, 기타)으로 분류됨.","2020년 12월 전년동기 대비 연결기준 매출액은 78.2% 증가, 영업이익은 105.9% 증가, 당기순이익은 55.1% 감소. 화학부문의 부진에도 불구하고, 철강 및 전자결제부문의 꾸준한 성장으로 매출액 및 수익성 향상된 모습을 나타냄. 매출에서 비교적 큰 부분을 차지하고 있는 전자결제 부문에서의 신규 사업 진행과 제휴 활동의 성공여부가 향후 추가적인 실적 개선의 포인트로 판단됨."
058860,KTis,3285,저가,고가,4237,3904,3361,746,840,933,-0.18,,,35.91,33.08,34.25,,3.11,3.91,3.27,0.9,0.6,0.0,2.9,0.3,-14.4,-34.6,52.9,-18.8,-16.0,,,4.4,5.6,4.92,5.23,6.38,,2.44,3.4,3.49,3.75,4.62,,,4536,4510,4508,4381,4367,,,74,92,79,83,100,,,6.6,16.6,5.1,4.7,25,309,-613,95,266,308,69,-43,922,54,224,366,95,44,-210,-64,-237,-217,402,318,287,85,31,-61,1204100.7,1.39,-0.3,0.77,14.46,-38080,139493,115668,-488377,30,1797,1720,8815,39807,-140476,-117425,498312,7.75,0.02,-0.42,1.38,코스피 서비스업,FICS  상업서비스,판관비 인건비 증가로 수익성 악화,"동사는 2001년 6월 27일에 ㈜케이티의 114번호안내서비스 사업이 분사하여 설립되었으며, 2010년 12월 17일 한국거래소에 상장됨. 동사는 KT 고객센터, 114전화번호안내사업, 지역광고사업(우선번호안내서비스) 및 컨택센터사업, 유통사업 등을 주요사업으로 영위하고 있음.  GiGA인터넷, IPTV, 인공지능 TV 기가지니, SMB 상품 등 다양한 서비스로 영업활동을 하고 있음.","2020년 12월 전년동기 대비 별도기준 매출액은 0.6% 증가, 영업이익은 34.6% 감소, 당기순이익은 19.7% 감소. 안내사업은 매출 336억, 영업이익 6억을 달성하였으나 이는 희망퇴직으로 인해 일시적으로 발생한 비용이 반영되어 있어, 이 부분을 제외한다면, 당사 사업 중 가장 높은 영업이익율을 달성. 컨택사업은 고객맞춤 컨설팅을 통해 수주 규모를 확대하는 중임."
011070,LG이노텍,224000,적정가,저가,140381,170526,238912,360872,405980,451089,12.81,265905,,7.02,6.94,4.35,,0.38,0.21,0.35,55.6,19.6,-0.1,4.5,32.8,97.3,43.0,80.8,-11.1,182.8,22.88,17.079603283681884,10.19,4.73,8.02,9.37,0.28,9.68,4.0,1.77,2.8,3.43,0.12,115925,112378,95418,79754,79821,76414,57546,6251,4598,2361,1023,1631,1748,50,38.4,42.9,51.2,32.9,13.7,7.5,201,7482,4806,4350,11775,8881,4149,4292,4075,1735,9503,7690,-1440,-8262,-3543,-28,-1672,-2389,7242,6946,7996,295,-1050,1783,174822.4,2.28,4.92,10.34,15.17,-192455,-380758,-615177,-554093,87188,187551,287306,275215,110579,200749,335811,286060,31.08,0.82,1.31,1.1,"코스피 전기,전자",FICS  전자 장비 및 기기,광학솔루션 부문이 이끈 성장,"동사는 1976년 금성정밀공업으로 설립됨. 2008년 유가증권시장에 상장함. 동사와 연결회사 사업 부문은 크게 광학솔루션, 기판소재, 전장부품, 기타 부문으로 분류됨. 광학솔루션 부문은 카메라 모듈 등을, 기판소재 부문은 Photomask, Tape Substrate, 반도체기판 등을, 전장부품 부문은 모터, 센서, 차량통신 등을 판매함. 기타 부문은 전자부품이 주요 제품임.","2020년 12월 전년동기 대비 연결기준 매출액은 19.6% 증가, 영업이익은 43% 증가, 당기순이익은 130.8% 증가. 기타 사업 부문은 전년도 대비 매출이 소폭 감소했으나 이외 부문이 성장하며 전체 실적 개선으로 이어짐. 특히 광학솔루션 부문 매출이 가장 큰 폭으로 증가하며 매출원가, 인건비 등 비용 증가에도 영업이익이 개선되는 데 결정적인 역할을 함."
